serial,ad_name,ad_set_name,amount_spent,max_roas,scroll_stop_30,hook_hold_rate_40,hold_rate_20,frequency,reach,results,result_rate,cpr,cpc,ctr,3_sec_video,25_play,50_play,75_play,100_play
1741,ad_id_1276,ad_set_090,2.64,0.0,47.62,25.0,11.9,1.0,126,0,0.0,0.0,1.32,1.59,60,34,20,11,6
1742,ad_id_808,ad_set_099,55.49,1.28,44.47,36.38,16.18,1.08,2971,2,6.25,27.75,0.42,4.15,1424,1201,840,604,476
1743,ad_id_1680,ad_set_092,2.2,0.0,34.95,16.67,5.83,1.0,103,0,0.0,0.0,0.0,0.0,36,20,7,4,1
1744,ad_id_1744,ad_set_106,56.08,1.27,44.92,36.99,16.61,1.02,3154,2,6.23,28.04,0.39,4.52,1441,1202,832,599,483
1745,ad_id_447,ad_set_019,1.51,0.0,40.32,24.0,9.68,1.0,62,0,0.0,0.0,0.76,3.23,25,13,6,3,0
1746,ad_id_1151,ad_set_094,2.93,0.0,33.78,26.0,8.78,1.0,148,0,0.0,0.0,2.93,0.68,50,26,14,7,4
1747,ad_id_1559,ad_set_103,2.49,0.0,45.86,23.61,10.83,1.01,155,0,0.0,0.0,0.83,1.91,72,39,17,10,9
1748,ad_id_1518,ad_set_012,2.25,0.0,38.26,25.0,9.57,1.01,114,0,0.0,0.0,1.13,1.74,44,22,13,6,4
1749,ad_id_1735,ad_set_001,15.46,0.0,58.79,39.67,23.32,1.05,881,0,0.0,0.0,0.42,4.01,542,481,343,250,198
1750,ad_id_891,ad_set_075,188.44,1.06,52.35,34.39,18.01,1.1,13061,9,6.29,20.94,0.47,2.77,7496,6353,4279,2996,2350
1751,ad_id_1593,ad_set_044,3.45,0.0,44.28,19.1,8.46,1.01,199,0,0.0,0.0,1.15,1.49,89,35,18,8,5
1752,ad_id_341,ad_set_066,1.78,0.0,49.32,11.11,5.48,1.06,69,0,0.0,0.0,0.89,2.74,36,17,4,3,1
1753,ad_id_44,ad_set_105,0.29,0.0,33.33,12.5,4.17,1.04,23,0,0.0,0.0,0.0,0.0,8,2,1,1,1
1754,ad_id_1080,ad_set_001,3.47,0.0,43.26,30.11,13.02,1.0,215,0,0.0,0.0,0.87,1.86,93,45,26,13,7
1755,ad_id_160,ad_set_044,16.09,0.0,59.86,37.41,22.39,1.02,1141,0,0.0,0.0,0.43,3.19,695,607,420,298,224
1756,ad_id_8,ad_set_018,5.89,0.0,54.86,30.54,16.76,1.01,365,0,0.0,0.0,0.59,2.7,203,178,109,73,55
1757,ad_id_1444,ad_set_047,3.77,0.0,49.62,29.01,14.39,1.01,262,0,0.0,0.0,1.26,1.14,131,103,57,40,37
1758,ad_id_633,ad_set_106,5.81,0.0,40.4,31.88,12.88,1.01,393,0,0.0,0.0,1.45,1.01,160,80,42,26,14
1759,ad_id_1650,ad_set_072,1.9,0.0,30.39,41.94,12.75,1.02,100,0,0.0,0.0,1.9,0.98,31,18,10,8,6
1760,ad_id_220,ad_set_106,0.96,0.0,35.56,37.5,13.33,1.0,45,0,0.0,0.0,0.96,2.22,16,10,7,5,4
1761,ad_id_143,ad_set_034,93.57,1.03,43.87,31.4,13.78,1.12,5763,4,6.21,23.39,0.39,3.75,2828,2382,1543,1048,808
1762,ad_id_1131,ad_set_011,4.55,0.0,37.54,30.33,11.38,1.03,315,0,0.0,0.0,0.27,5.23,122,63,32,20,9
1763,ad_id_506,ad_set_002,8.73,0.0,53.65,31.18,16.73,1.06,490,0,0.0,0.0,0.49,3.46,279,230,151,103,75
1764,ad_id_466,ad_set_056,0.48,0.0,36.36,0.0,0.0,1.05,21,0,0.0,0.0,0.0,0.0,8,4,0,0,0
1765,ad_id_1348,ad_set_094,14.76,1.78,59.24,32.51,19.26,1.09,1066,2,17.27,7.38,0.45,2.85,686,594,402,270,207
1766,ad_id_99,ad_set_106,0.63,0.0,51.43,27.78,14.29,1.03,68,0,0.0,0.0,0.0,0.0,36,17,10,6,2
1767,ad_id_1458,ad_set_010,1.1,0.0,32.76,21.05,6.9,1.0,58,0,0.0,0.0,0.0,0.0,19,7,4,4,3
1768,ad_id_751,ad_set_003,10.88,0.0,42.12,19.26,8.11,1.03,623,0,0.0,0.0,2.18,0.78,270,137,56,30,19
1769,ad_id_1663,ad_set_092,17.76,0.0,44.55,30.76,13.7,1.05,1184,0,0.0,0.0,0.51,2.8,556,301,154,95,53
1770,ad_id_322,ad_set_081,21.16,2.13,43.82,27.43,12.02,1.03,1420,1,6.87,21.16,0.73,1.99,638,345,165,91,45
1771,ad_id_1494,ad_set_001,7.34,0.0,50.58,26.94,13.63,1.01,430,0,0.0,0.0,1.47,1.15,219,123,65,33,16
1772,ad_id_1779,ad_set_086,37.68,1.4,48.4,25.75,12.46,1.02,2301,2,8.54,18.84,0.8,2.01,1134,562,266,135,63
1773,ad_id_1605,ad_set_082,16.14,0.0,48.18,24.05,11.59,1.03,909,0,0.0,0.0,1.08,1.61,449,238,117,65,34
1774,ad_id_1328,ad_set_069,55.11,1.66,41.02,30.29,12.42,1.09,3455,3,7.98,18.37,0.5,2.95,1542,824,423,233,124
1775,ad_id_1449,ad_set_101,28.38,2.31,49.44,26.05,12.88,1.01,1675,3,17.8,9.46,0.89,1.9,833,446,234,135,75
1776,ad_id_1726,ad_set_029,5.44,0.0,48.23,34.86,16.81,1.02,221,0,0.0,0.0,1.81,1.33,109,59,36,24,13
1777,ad_id_1209,ad_set_007,6.79,0.0,40.49,14.0,5.67,1.0,246,0,0.0,0.0,2.26,1.21,100,57,17,10,5
1778,ad_id_1139,ad_set_098,8.8,0.0,54.04,32.24,17.42,1.0,396,0,0.0,0.0,0.98,2.27,214,112,59,37,20
1779,ad_id_1575,ad_set_007,9.53,0.0,54.18,27.75,15.04,1.01,413,0,0.0,0.0,1.19,1.91,227,114,58,36,16
1780,ad_id_1357,ad_set_068,33.28,0.53,47.42,25.13,11.91,1.01,2060,3,14.35,11.09,0.9,1.77,991,486,229,139,73
1781,ad_id_246,ad_set_073,2.41,0.0,43.43,25.58,11.11,1.02,97,0,0.0,0.0,2.41,1.01,43,16,11,6,5
1782,ad_id_949,ad_set_008,9.19,0.0,53.12,31.32,16.64,1.03,513,0,0.0,0.0,0.48,3.59,281,142,81,47,24
1783,ad_id_62,ad_set_106,21.48,1.46,54.66,28.53,15.6,1.03,1336,1,7.29,21.48,0.67,2.33,750,394,194,115,61
1784,ad_id_1232,ad_set_070,23.28,0.0,49.18,26.8,13.18,1.06,1150,0,0.0,0.0,0.78,2.47,597,304,141,88,52
1785,ad_id_1552,ad_set_069,7.9,0.0,52.86,24.32,12.86,1.05,334,0,0.0,0.0,0.79,2.86,185,89,41,20,11
1786,ad_id_888,ad_set_090,8.69,0.0,50.31,22.63,11.39,1.0,483,0,0.0,0.0,1.24,1.45,243,136,62,29,12
1787,ad_id_1410,ad_set_044,2.65,0.0,48.23,22.06,10.64,1.01,140,0,0.0,0.0,0.66,2.84,68,32,17,10,5
1788,ad_id_509,ad_set_109,9.5,0.0,52.86,26.13,13.81,1.01,417,0,0.0,0.0,0.95,2.38,222,124,59,30,12
1789,ad_id_1059,ad_set_002,2.29,0.0,52.34,25.0,13.08,1.02,105,0,0.0,0.0,0.46,4.67,56,32,14,7,3
